id	uuid	filename	href	default_img	product_id	created_at	updated_at
20	f4319606-2e52-11eb-bc79-275aa1ef5ea7	orientel-universal-360-rotation-rubber-suction-cup-car-mount-1100x1100-imae6eadyzjgckns.jpeg	http://img5a.flixcart.com/image/car-cradle/f/a/x/orientel-universal-360-rotation-rubber-suction-cup-car-mount-1100x1100-imae6eadyzjgckns.jpeg	t	7	2020-11-24 12:45:38.3654+00	NULL
21	f4319607-2e52-11eb-bc79-275aa1ef5ea7	orientel-universal-360-rotation-rubber-suction-cup-car-mount-original-imae6eadyzjgckns.jpeg	http://img6a.flixcart.com/image/car-cradle/f/a/x/orientel-universal-360-rotation-rubber-suction-cup-car-mount-original-imae6eadyzjgckns.jpeg	f	7	2020-11-24 12:45:38.3654+00	NULL
22	f4319608-2e52-11eb-bc79-275aa1ef5ea7	orientel-universal-360-rotation-rubber-suction-cup-car-mount-original-imae6eadnpkchmhz.jpeg	http://img6a.flixcart.com/image/car-cradle/f/a/x/orientel-universal-360-rotation-rubber-suction-cup-car-mount-original-imae6eadnpkchmhz.jpeg	f	7	2020-11-24 12:45:38.3654+00	NULL
23	f4319609-2e52-11eb-bc79-275aa1ef5ea7	orientel-universal-360-rotation-rubber-suction-cup-car-mount-original-imae6ead3pwphuft.jpeg	http://img6a.flixcart.com/image/car-cradle/f/a/x/orientel-universal-360-rotation-rubber-suction-cup-car-mount-original-imae6ead3pwphuft.jpeg	f	7	2020-11-24 12:45:38.3654+00	NULL
24	f431960a-2e52-11eb-bc79-275aa1ef5ea7	vtc-thumb-up-mobile-stand-pink-original-imaebck3zgnedqmz.jpeg	http://img5a.flixcart.com/image/car-cradle/s/a/z/vtc-thumb-up-mobile-stand-pink-original-imaebck3zgnedqmz.jpeg	t	8	2020-11-24 12:45:38.3654+00	NULL
25	f431960b-2e52-11eb-bc79-275aa1ef5ea7	vtc-thumb-up-mobile-stand-pink-original-imaebck429t7rjge.jpeg	http://img5a.flixcart.com/image/car-cradle/s/a/z/vtc-thumb-up-mobile-stand-pink-original-imaebck429t7rjge.jpeg	f	8	2020-11-24 12:45:38.3654+00	NULL
26	f431960c-2e52-11eb-bc79-275aa1ef5ea7	vtc-thumb-up-mobile-stand-pink-original-imaebck4rspcxkwa.jpeg	http://img5a.flixcart.com/image/car-cradle/s/a/z/vtc-thumb-up-mobile-stand-pink-original-imaebck4rspcxkwa.jpeg	f	8	2020-11-24 12:45:38.3654+00	NULL
27	f431960d-2e52-11eb-bc79-275aa1ef5ea7	jazam-gecko-multifuction-mobile-stand-original-imae9v74xgpgwwjh.jpeg	http://img6a.flixcart.com/image/car-cradle/p/h/y/jazam-gecko-multifuction-mobile-stand-original-imae9v74xgpgwwjh.jpeg	t	9	2020-11-24 12:45:38.3654+00	NULL
28	f431960e-2e52-11eb-bc79-275aa1ef5ea7	jazam-gecko-multifuction-mobile-stand-original-imae9v74xgpgwwjh.jpeg	http://img5a.flixcart.com/image/car-cradle/p/h/y/jazam-gecko-multifuction-mobile-stand-original-imae9v74xgpgwwjh.jpeg	f	9	2020-11-24 12:45:38.3654+00	NULL
29	f431960f-2e52-11eb-bc79-275aa1ef5ea7	jazam-gecko-multifuction-mobile-stand-original-imae9uhyxmes4ahy.jpeg	http://img5a.flixcart.com/image/car-cradle/p/h/y/jazam-gecko-multifuction-mobile-stand-original-imae9uhyxmes4ahy.jpeg	f	9	2020-11-24 12:45:38.3654+00	NULL
30	f4319610-2e52-11eb-bc79-275aa1ef5ea7	amzer-anywhere-magnetic-vehicle-mount-for-htc-one-m8-1100x1100-imae5kzntgdtmehf.jpeg	http://img5a.flixcart.com/image/car-cradle/r/w/x/amzer-anywhere-magnetic-vehicle-mount-for-htc-one-m8-1100x1100-imae5kzntgdtmehf.jpeg	t	10	2020-11-24 12:45:38.3654+00	NULL
31	f4319611-2e52-11eb-bc79-275aa1ef5ea7	amzer-anywhere-magnetic-vehicle-mount-for-htc-one-m8-original-imae5kzntgdtmehf.jpeg	http://img6a.flixcart.com/image/car-cradle/r/w/x/amzer-anywhere-magnetic-vehicle-mount-for-htc-one-m8-original-imae5kzntgdtmehf.jpeg	f	10	2020-11-24 12:45:38.3654+00	NULL
32	f4319612-2e52-11eb-bc79-275aa1ef5ea7	amzer-anywhere-magnetic-vehicle-mount-for-htc-one-m8-original-imae5kznx6yvqw96.jpeg	http://img5a.flixcart.com/image/car-cradle/r/w/x/amzer-anywhere-magnetic-vehicle-mount-for-htc-one-m8-original-imae5kznx6yvqw96.jpeg	f	10	2020-11-24 12:45:38.3654+00	NULL
33	f4319613-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	http://img6a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	t	11	2020-11-24 12:45:38.3654+00	NULL
34	f4319614-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	http://img5a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zub86zhgh9w.jpeg	f	11	2020-11-24 12:45:38.3654+00	NULL
35	f4319615-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zubnpywgyhb.jpeg	http://img5a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zubnpywgyhb.jpeg	f	11	2020-11-24 12:45:38.3654+00	NULL
36	f4319616-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zuazuf4fwxz.jpeg	http://img6a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zuazuf4fwxz.jpeg	f	11	2020-11-24 12:45:38.3654+00	NULL
37	f4319617-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zubvgbb6wvm.jpeg	http://img5a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zubvgbb6wvm.jpeg	f	11	2020-11-24 12:45:38.3654+00	NULL
38	f4319618-2e52-11eb-bc79-275aa1ef5ea7	neopack-car-dashboard-mobile-holder-original-imae9zuav4zzfamu.jpeg	http://img6a.flixcart.com/image/car-cradle/z/s/g/neopack-car-dashboard-mobile-holder-original-imae9zuav4zzfamu.jpeg	f	11	2020-11-24 12:45:38.3654+00	NULL
39	f4319619-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-multipurpose-car-holder-kit-use-on-windshield-1100x1100-imae8y4ecmfhcvzr.jpeg	http://img6a.flixcart.com/image/car-cradle/h/v/d/smiledrive-multipurpose-car-holder-kit-use-on-windshield-1100x1100-imae8y4ecmfhcvzr.jpeg	t	12	2020-11-24 12:45:38.3654+00	NULL
40	f431961a-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4ecmfhcvzr.jpeg	http://img5a.flixcart.com/image/car-cradle/h/v/d/smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4ecmfhcvzr.jpeg	f	12	2020-11-24 12:45:38.3654+00	NULL
41	f431961b-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4ervdyhwhm.jpeg	http://img5a.flixcart.com/image/car-cradle/h/v/d/smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4ervdyhwhm.jpeg	f	12	2020-11-24 12:45:38.3654+00	NULL
42	f431961c-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4e5wnx86aa.jpeg	http://img5a.flixcart.com/image/car-cradle/h/v/d/smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4e5wnx86aa.jpeg	f	12	2020-11-24 12:45:38.3654+00	NULL
43	f431961d-2e52-11eb-bc79-275aa1ef5ea7	smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4e5v7erpt2.jpeg	http://img6a.flixcart.com/image/car-cradle/h/v/d/smiledrive-multipurpose-car-holder-kit-use-on-windshield-original-imae8y4e5v7erpt2.jpeg	f	12	2020-11-24 12:45:38.3654+00	NULL
